position,bounciness,size,bucket
364,0.530053352,16,7
553,0.530402084,16,7
608,0.527279956,16,8
656,0.52984426,16,8
764,0.502453578,16,9
18,0.541989919,16,1
23,0.540710787,16,2
78,0.50525689,16,3
113,0.544490257,16,2
227,0.534120425,16,5
243,0.514571334,16,2
253,0.542128535,16,3
323,0.520992142,16,3
378,0.548064599,16,6
408,0.518488708,16,4
411,0.53721291,16,7
463,0.539081598,16,6
507,0.54844044,16,9
527,0.517429537,16,7
563,0.500996787,16,5
621,0.531977431,16,9
621,0.531977431,16,10
741,0.540308634,16,10
49,0.514403176,16,1
152,0.54572205,16,5
240,0.534581262,16,2
273,0.502840719,16,1
288,0.541176847,16,5
297,0.514190795,16,3
350,0.547199431,16,3
352,0.530782386,16,6
391,0.530253601,16,5
419,0.505187902,16,1
500,0.506691688,16,9
594,0.544571996,16,4
598,0.509708327,16,6
663,0.524025077,16,10
691,0.503269457,16,8
734,0.543929862,16,6
39,0.512805314,16,3
75,0.545406605,16,1
112,0.518820433,16,2
132,0.539832992,16,3
257,0.506724448,16,2
312,0.540151465,16,3
330,0.540594172,16,2
358,0.504404212,16,5
368,0.515674487,16,7
423,0.534023813,16,7
499,0.502219161,16,8
522,0.507547028,16,6
588,0.547767322,16,7
618,0.534905817,16,10
657,0.537339931,16,10
675,0.541149053,16,9
702,0.535644509,16,9
43,0.54799289,16,2
86,0.502263242,16,4
102,0.544450871,16,2
125,0.538228078,16,2
207,0.52975675,16,2
248,0.546581655,16,1
264,0.510189259,16,6
274,0.520057948,16,4
275,0.527406355,16,3
316,0.525455708,16,5
370,0.506305333,16,5
373,0.519115036,16,8
424,0.52838412,16,3
430,0.503615745,16,5
517,0.50400872,16,7
564,0.517537167,16,7
571,0.531602425,16,8
637,0.530108094,16,8
678,0.536952846,16,9
681,0.539620934,16,10
693,0.544556697,16,8
743,0.54617491,16,8
750,0.542404848,16,9
777,0.525838191,16,7
779,0.503510098,16,9
783,0.547563293,16,9
47,0.531656461,16,2
90,0.500476201,16,4
255,0.54797221,16,4
280,0.547406724,16,3
339,0.51553887,16,3
401,0.542590443,16,8
429,0.521731428,16,7
600,0.540260734,16,9
689,0.52827936,16,7
720,0.511605916,16,9
755,0.521114014,16,7
775,0.542930499,16,8
780,0.522295252,16,8
785,0.517526506,16,10
93,0.52369491,16,3
100,0.503639166,16,2
321,0.519821036,16,4
409,0.531550719,16,4
505,0.544633757,16,10
539,0.526354753,16,7
579,0.545898312,16,8
648,0.515789958,16,10
704,0.526912307,16,6
45,0.529324774,16,2
61,0.525886284,16,4
79,0.530070782,16,3
84,0.512151751,16,2
177,0.524181644,16,1
202,0.524868632,16,4
293,0.540936064,16,5
367,0.508730398,16,5
383,0.526656293,16,5
493,0.538193752,16,6
504,0.501557146,16,7
508,0.506618727,16,8
771,0.536999041,16,10
119,0.521926741,16,1
155,0.536291661,16,4
185,0.500239274,16,3
201,0.549598687,16,5
230,0.500302365,16,4
337,0.503994882,16,7
395,0.504399997,16,6
481,0.536698093,16,7
506,0.518524618,16,6
528,0.521036788,16,8
536,0.518330996,16,9
574,0.541986229,16,6
591,0.52296126,16,8
768,0.500749301,16,7
40,0.530938707,16,1
41,0.520835676,16,2
53,0.52054933,16,2
73,0.524440413,16,2
250,0.53121495,16,4
392,0.523958171,16,3
426,0.54912212,16,2
496,0.519580362,16,7
498,0.502524354,16,5
603,0.508368716,16,7
667,0.547047969,16,8
706,0.532396449,16,8
772,0.529356938,16,9
107,0.517563845,16,1
122,0.526464238,16,4
154,0.533360582,16,3
179,0.541030399,16,2
252,0.543887446,16,2
271,0.530735198,16,5
319,0.546892401,16,4
329,0.523490164,16,5
343,0.517855691,16,2
434,0.501144034,16,8
700,0.533875358,16,9
714,0.527328351,16,9
758,0.51131086,16,9
71,0.541222892,16,3
118,0.521431832,16,2
262,0.534295573,16,2
501,0.522110359,16,7
530,0.548260244,16,5
597,0.524301756,16,6
640,0.505745621,16,8
8,0.534586572,16,1
103,0.512694174,16,2
259,0.505903435,16,2
286,0.535396249,16,2
320,0.518707834,16,5
389,0.545924013,16,4
471,0.54976897,16,8
569,0.531189757,16,7
717,0.514262876,16,8
72,0.514971256,16,2
105,0.539582087,16,1
242,0.548025387,16,2
295,0.519855481,16,9
354,0.527013096,16,2
382,0.511601074,16,8
403,0.549023044,16,5
452,0.507458099,16,5
616,0.526216617,16,10
97,0.521525813,16,1
189,0.531141597,16,2
222,0.530154396,16,5
344,0.508212021,16,6
431,0.525441238,16,6
679,0.548254895,16,10
736,0.540641142,16,10
745,0.527135919,16,8
759,0.546111607,16,8
63,0.526495648,16,1
538,0.513138825,16,5
642,0.545080759,16,9
701,0.527799507,16,9
716,0.518708886,16,8
773,0.529221421,16,9
37,0.535932728,16,3
184,0.529760779,16,6
351,0.525841764,16,5
437,0.51233006,16,7
537,0.506004036,16,6
610,0.526391407,16,10
688,0.548350186,16,10
711,0.526642737,16,10
4,0.528721871,16,2
33,0.52323153,16,2
116,0.549788191,16,4
390,0.532442986,16,6
465,0.537896045,16,8
492,0.54407867,16,5
535,0.505277613,16,6
572,0.533349227,16,7
151,0.531575932,16,3
173,0.502392722,16,2
612,0.537874463,16,8
612,0.537874463,16,9
676,0.545074776,16,10
713,0.521352024,16,10
751,0.513961163,16,8
121,0.509482299,16,2
148,0.523730628,16,2
291,0.545207516,16,2
326,0.547571503,16,3
510,0.539257046,16,7
573,0.527005305,16,8
668,0.528054226,16,7
74,0.544986611,16,2
192,0.543369106,16,6
198,0.540496268,16,3
211,0.514749316,16,4
